0	898
0	742
0	674
0	897
1	841
1	902
1	881
1	624
1	951
1	892
1	127
2	850
2	6
2	750
2	837
2	815
2	862
2	856
2	764
2	828
2	630
3	872
3	958
3	746
3	774
3	710
3	935
4	964
4	915
4	768
4	629
4	572
4	711
5	902
5	654
5	712
5	709
5	736
5	867
5	625
5	751
5	749
5	941
6	793
6	772
6	892
6	670
6	895
6	758
6	792
7	11
8	393
9	12
10	12
10	13
10	782
11	178
11	939
12	78
12	404
13	658
14	20
14	15
15	363
16	20
16	303
17	20
17	859
18	20
18	84
19	243
19	593
20	383
21	24
21	460
22	23
23	291
23	46
24	180
24	25
25	575
25	726
26	206
26	27
26	120
26	587
27	464
28	31
29	291
29	166
30	287
30	506
31	512
31	33
32	34
32	261
34	311
34	437
34	661
35	38
36	249
36	835
36	657
37	48
37	186
38	459
38	39
38	622
39	40
39	918
40	712
41	149
42	46
42	45
43	44
43	238
43	334
44	46
44	246
45	690
46	48
47	370
47	570
48	727
49	55
49	204
49	519
50	97
50	147
50	926
51	288
52	158
53	267
53	55
53	418
53	891
54	55
55	521
56	60
57	248
58	60
59	353
59	76
60	436
60	492
60	528
60	627
60	611
61	144
62	111
63	218
63	64
63	125
63	872
64	69
64	960
65	66
66	772
67	68
68	263
68	467
69	361
69	537
70	74
70	73
70	597
70	849
71	72
71	482
71	502
72	74
74	242
74	181
74	220
75	351
75	372
76	132
77	83
77	81
77	276
77	858
78	80
79	80
79	770
80	83
80	82
80	311
81	675
83	126
84	88
84	473
85	86
86	357
86	90
86	574
86	991
87	90
87	151
88	91
89	278
89	968
92	268
92	354
93	94
93	95
94	314
94	589
95	97
96	335
96	746
98	104
98	100
98	102
99	317
99	185
99	536
100	194
101	226
101	103
101	104
102	158
102	454
103	618
105	111
105	419
105	832
105	751
106	109
106	110
106	196
106	349
107	296
107	206
108	110
109	110
110	111
112	187
113	446
113	114
113	117
113	903
114	221
114	403
115	226
115	676
115	763
116	118
117	376
118	358
119	204
121	133
121	190
122	502
122	818
122	874
123	528
124	224
124	704
126	130
127	129
127	428
128	219
128	150
128	855
129	983
130	405
131	580
131	252
131	300
131	410
132	278
133	134
134	139
135	190
135	481
136	278
136	446
136	632
137	254
137	138
139	380
139	740
140	501
140	742
141	142
142	146
143	144
143	145
143	896
144	310
146	979
147	153
148	152
150	279
150	702
152	188
154	155
155	156
155	776
156	255
156	257
156	281
156	940
156	893
157	159
157	497
159	188
160	345
160	958
161	245
162	164
162	457
162	472
162	645
163	164
164	166
164	982
165	366
165	167
165	953
166	227
166	584
167	919
168	173
168	169
169	172
169	173
169	554
170	171
171	174
171	813
171	624
172	174
174	432
174	517
175	520
175	177
176	569
176	687
177	179
177	367
177	613
178	180
178	207
180	196
180	231
182	183
182	886
183	186
184	508
185	368
186	187
189	195
190	192
190	307
190	556
191	200
191	805
192	193
193	195
196	316
196	830
196	669
196	957
197	468
197	198
197	544
198	199
198	201
199	202
200	265
200	286
201	873
203	275
204	208
204	371
205	361
207	571
209	249
210	211
210	842
211	215
211	213
212	366
212	214
212	222
214	216
215	222
215	929
217	223
217	499
218	220
219	220
223	386
224	228
224	541
225	230
225	228
226	324
226	232
227	230
227	984
228	381
229	557
230	477
231	233
231	391
233	235
233	892
234	236
234	836
235	237
236	237
236	455
237	621
238	693
239	369
239	243
239	427
240	242
240	450
240	757
241	264
242	817
243	244
243	875
245	251
245	787
247	248
247	251
249	250
250	368
250	365
251	401
252	255
253	256
253	254
254	258
255	375
255	723
256	340
257	370
258	996
259	265
259	600
260	263
260	264
261	263
261	505
261	913
262	456
262	476
262	498
264	430
265	318
266	271
267	317
267	269
267	389
267	475
268	273
270	272
270	328
271	273
272	273
272	736
274	278
274	863
275	276
277	279
278	806
280	281
281	580
282	390
283	286
283	603
284	288
285	289
285	935
286	288
286	928
287	415
290	292
290	294
291	294
291	292
293	521
294	295
294	296
296	479
297	420
297	716
298	299
298	881
299	304
299	301
299	350
302	304
302	594
304	305
304	447
304	846
305	368
306	311
306	685
307	309
307	312
308	509
310	530
312	313
314	320
314	317
314	577
315	320
317	318
317	319
319	320
320	321
320	438
321	529
322	325
323	327
323	440
323	616
324	577
324	329
324	559
325	327
326	426
329	738
329	696
330	333
331	333
331	337
332	337
333	337
333	336
333	405
334	512
335	336
336	666
337	561
338	344
339	343
340	342
341	344
341	343
343	345
343	451
344	345
344	775
345	777
346	447
346	516
347	351
347	581
348	351
349	351
350	353
351	352
351	452
352	962
355	356
356	360
357	360
358	414
360	361
360	698
362	366
362	364
362	407
362	496
365	369
366	499
368	468
369	866
369	778
369	860
370	821
371	373
371	377
371	784
373	546
374	375
374	378
379	381
380	387
380	514
382	391
382	385
383	387
383	384
383	922
385	387
387	654
388	392
388	390
390	395
