2	[14, 15, 16, 17, 18, 19, 20]
5	[133, 135, 136, 183, 170]
10	[70, 71, 72, 73, 74, 75, 76]
13	[91, 92, 93, 94, 95, 96, 97]
14	[98, 99, 100, 101, 102, 104, 0, 1, 705, 706, 708, 717, 720, 724, 727, 730, 738, 750, 751, 759, 762, 769, 771, 788, 791, 792, 795, 801, 803, 818, 820, 824, 844, 855, 858, 876, 889, 903, 906, 909, 912, 920, 923, 931, 935, 936, 939, 944, 946, 949, 955, 963, 965, 966, 968, 973, 975, 989, 998, 30, 31, 32, 49, 52, 53, 445, 450]
15	[106, 107, 108, 111, 245, 246, 247, 248, 249, 250, 251]
16	[112, 113, 114, 115, 116, 117, 118, 418, 422, 423, 424, 425, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 287, 286, 285, 282]
23	[161, 162, 163, 164, 165, 166, 167]
24	[169, 174, 396, 411, 186, 324]
25	[178, 179, 180, 181, 41, 36, 40]
32	[224, 225, 226, 227, 228, 229, 230]
33	[231, 232, 233, 234, 235, 236, 237]
36	[252, 253, 254, 255, 256, 257, 258, 77, 78, 79, 80, 81, 82, 83, 472, 473, 468, 483, 474, 470]
37	[260, 264, 265, 22, 23, 24, 25, 26, 27]
40	[283, 284, 288, 289]
41	[290, 291, 292, 293, 294, 295, 296, 297]
44	[320, 451, 744, 940]
46	[331, 334, 336, 337]
48	[348, 349, 350, 351, 352, 353, 354, 355, 356]
50	[370, 372, 373, 544, 85, 298, 301, 302, 303, 305]
51	[376, 377, 381, 383, 834, 647, 648, 655, 656, 678, 691]
52	[384, 386, 388, 390, 601, 613, 586, 621, 629, 620]
57	[440, 441, 442, 443, 444, 446, 447, 448, 453, 790, 959, 930, 929, 873, 753, 856, 843, 832, 996, 926, 763, 775, 987, 710, 827, 754, 992, 902, 883, 810, 835]
