12	[88, 448, 707, 641, 907, 679]
19	[135, 136, 148, 612, 806, 569, 437, 436, 60, 963, 769, 465, 709, 353, 461, 463, 932, 779, 660, 928, 829, 935, 955, 355, 993, 468, 558, 467, 574, 651, 609, 466, 892]
20	[142, 144, 305, 306, 656, 977, 601, 625, 548, 964, 902, 791, 799, 909, 948, 661, 639, 793, 583, 937, 1, 768, 947, 194, 840, 338, 865, 833, 975]
25	[175, 178, 285, 360, 361, 363, 364, 527, 531, 419, 874, 722, 515, 537, 420, 472, 513, 512, 510, 417, 535, 944, 422, 613, 966, 563, 705, 810, 592, 788, 997, 620, 561, 664, 940, 39, 736, 552, 952, 897, 965, 35, 766, 166, 669, 38, 163, 36, 862, 617, 933, 756, 986, 2, 164, 653, 629, 6, 630, 626, 752, 690, 665, 713, 167, 971, 916, 818, 761, 40, 165, 161, 606, 728, 699, 41, 838, 623, 383, 910, 855]
31	[217, 218, 221, 663, 571, 332, 908, 334, 546, 719, 815, 329, 809, 659, 4, 789, 929, 673, 770, 894, 224, 225, 226, 227, 228, 229, 230, 367, 371, 372, 373, 374, 341, 918, 942, 37, 688]
33	[231, 232, 234, 235, 236, 927, 711, 649, 604, 814, 995, 597, 111, 700, 335, 961, 734, 631, 848, 684, 740, 949, 998, 636, 691, 820, 579, 773, 655, 945, 8, 9, 11, 12, 70, 71, 73, 74, 75, 76, 316, 317, 319, 320, 321, 154, 155, 156, 157, 158, 159]
34	[238, 239, 240, 241, 242, 244, 98, 99, 101, 102, 103, 104, 399, 400, 404, 405, 406, 210, 212, 213, 214, 216, 65, 66, 566, 706, 208, 658, 885, 784, 692, 648, 622, 859, 737, 992, 174, 127, 147]
39	[273, 276, 278, 279, 119, 121, 29, 32, 33, 34, 807, 380, 936, 304, 654, 302, 759, 668, 893, 143, 895, 580, 943, 813, 596, 983, 672]
41	[287, 289, 290, 292, 293, 261, 264, 61, 59, 294, 20, 958, 92, 93, 816, 982, 193, 624, 790, 339]
46	[322, 325, 326, 328, 429, 430, 431, 95, 96, 97, 297, 17, 91, 14, 15, 18, 16, 550, 765, 126, 387, 685, 780, 55, 615]
64	[489, 490, 491, 495, 496, 497, 501, 502, 503, 507, 508, 509, 203, 209, 343, 344, 345, 346, 348, 350, 850, 996, 777, 462, 307, 298, 296, 559, 390, 866, 381, 886, 376]
74	[447, 450, 551, 852, 803, 896, 869, 960, 939, 957]
77	[744, 890, 880, 614, 984, 792, 331, 333, 382, 876, 839, 811, 82, 281, 176, 180, 282, 362, 179, 366]
78	[482, 473, 416, 418, 421, 423, 424, 913, 533, 519, 522, 536, 528, 530, 80, 967, 724, 0, 445, 917, 454]
90	[369, 370, 368, 49, 666, 919, 412, 407, 204, 800, 812, 712, 825, 755, 748, 930, 642, 413, 671, 970, 981]
95	[78, 821, 746, 962, 824, 776, 556, 823, 586, 817, 81, 954, 926, 738, 714, 79, 867, 844, 83, 762, 611, 976, 889, 881, 544, 77, 749, 994, 689, 182, 183, 184, 185, 186, 187, 188, 266, 267, 268, 269, 270, 271, 272, 196, 197, 198, 199, 200, 201, 202, 599, 607, 162, 638, 414, 720, 554, 836, 640, 775, 681, 979, 540, 785, 687, 849, 410, 408]
97	[858, 581, 760, 922, 723, 336, 739, 192, 562, 808, 195, 834, 541, 941, 708, 455, 464, 112, 114, 115, 56, 57, 62, 352, 356, 434, 435, 438, 439, 440, 441, 442, 443, 704, 598, 589, 469, 471, 478, 486, 487, 3, 634, 750, 868]
110	[878, 567, 477, 488, 480, 729, 959, 742, 560, 782, 934, 726, 694, 483, 969]
116	[643, 342, 735, 870]
117	[901, 444, 676, 938, 912, 877, 972, 652, 753, 575, 801, 682, 987, 680, 999, 904, 778, 564, 457, 349, 347, 117, 543, 337, 618, 256, 485, 657]
121	[557, 610, 189, 860, 190, 42, 44, 47, 48, 113, 110, 105, 716, 106, 602, 588, 717, 547, 492, 494, 506, 511, 514, 517, 518, 520, 521, 524, 525, 526, 529, 532, 534, 538, 539, 578, 646, 772, 698, 988, 783, 627, 846, 572, 891, 576, 771, 628, 835, 819, 882, 107, 703, 451, 555, 670, 888, 108, 732, 667, 830, 863, 743, 953, 109, 632, 879, 647, 951, 923, 905, 608, 845, 990, 695, 847]
122	[151, 173, 149, 389, 303, 924, 837, 295, 428, 433, 851, 301, 426, 131, 427, 323, 324, 985, 19, 584, 94, 432, 573, 299, 425, 542, 385, 797, 741, 616, 132, 129, 675, 973, 718, 697, 968, 853, 130, 384, 645, 991, 388, 857, 386, 50, 795, 696, 415, 872, 258, 205, 786, 409, 826, 53, 794, 781, 257, 764, 52, 54, 842, 637, 255, 802, 254, 253, 549, 650, 619, 252, 693, 774, 585, 470, 677, 989, 484, 674, 476, 605, 822, 662]
123	[946, 51, 475, 582, 843, 595, 587, 903, 474, 920, 796, 805, 479, 757, 683, 745, 545, 861, 911, 871, 379, 925, 86, 721, 87, 678, 446, 85, 453, 5, 832, 449, 725]
131	[411, 883, 553, 207, 906, 23, 24, 25, 26]
132	[887, 754, 570, 900]
135	[747, 727, 452, 915, 600, 90, 22, 116, 460]
138	[27, 43, 456, 330]
139	[394, 251, 397, 246, 392, 249, 247, 393, 248, 351, 391, 245, 358, 354, 395, 974, 899, 715, 565, 875, 375, 702, 377, 914, 831, 378, 978, 459, 118, 733, 787, 864, 841, 644, 191, 621, 577, 873, 884, 931, 568, 594, 250, 396, 398, 357]
147	[633, 980, 590, 206, 504, 500, 505, 493, 498, 499, 145, 141, 140, 146, 58, 340, 263]
148	[63, 215, 402, 69, 243]
151	[591, 767, 311, 314, 100, 68, 403, 211, 64, 67, 265, 260, 262, 284, 365, 283, 359, 177, 181, 286, 280, 171, 309, 168, 152, 150, 219, 223, 220, 731, 259, 828, 288, 291, 300]
152	[10, 7, 160, 72]
153	[730, 222, 763]
157	[170, 310, 758, 313, 139]
158	[312, 308, 921, 277, 30, 125, 31, 122]
159	[701, 950, 603]
160	[751, 686, 401]
161	[138, 137, 153, 172]
162	[45, 84, 458, 89]
165	[798, 898, 854, 13, 315, 237, 233, 318]
166	[169, 128, 327, 133, 134]
167	[274, 28, 124, 120, 275, 123, 827, 481, 593, 804, 635, 856]
168	[46, 516, 523, 21, 710, 956]
