0	1	+	0	185
0	2	+	1	233
0	3	+	2	583
0	4	+	3	764
0	5	+	4	411
0	6	+	5	738
0	7	+	6	780
0	8	+	7	243
0	9	+	8	11
0	10	+	9	7
0	11	+	10	13
0	12	+	11	10
0	13	+	12	11
0	14	+	13	9
0	15	+	14	15
0	16	+	16	19
0	17	+	17	20
0	18	+	18	17
0	19	+	19	319
0	20	+	20	16
0	21	+	21	442
0	22	+	22	27
0	23	+	23	26
0	24	+	24	69
0	25	+	25	393
0	26	+	27	251
0	27	+	28	56
0	28	+	29	137
0	29	+	30	576
0	30	+	31	68
0	31	+	32	34
0	32	+	33	91
0	33	+	35	36
0	34	+	36	37
0	35	+	37	339
0	36	+	38	41
0	37	+	39	41
0	38	+	40	35
0	39	+	41	317
0	40	+	42	122
0	41	+	43	254
0	42	+	44	47
0	43	+	45	43
0	44	+	46	300
0	45	+	47	48
0	46	+	48	43
0	47	+	49	328
0	48	+	50	351
0	49	+	51	448
0	50	+	52	165
0	51	+	53	52
0	52	+	54	49
0	53	+	55	53
0	54	+	56	58
0	55	+	57	313
0	56	+	58	61
0	57	+	59	60
0	58	+	60	58
0	59	+	61	271
0	60	+	62	336
0	61	+	63	69
0	62	+	64	65
0	63	+	65	67
0	64	+	66	63
0	65	+	67	63
0	66	+	68	63
0	67	+	69	61
0	68	+	70	74
0	69	+	71	250
0	70	+	72	163
0	71	+	73	71
0	72	+	74	253
0	73	+	75	71
0	74	+	76	72
0	75	+	77	442
0	76	+	78	382
0	77	+	79	83
0	78	+	80	78
0	79	+	81	436
0	80	+	82	53
0	81	+	83	81
0	82	+	84	251
0	83	+	85	90
0	84	+	86	88
0	85	+	87	389
0	86	+	88	393
0	87	+	89	84
0	88	+	90	88
0	89	+	91	270
0	90	+	92	96
0	91	+	93	337
0	92	+	94	93
0	93	+	95	94
0	94	+	96	91
0	95	+	97	91
0	96	+	98	99
0	97	+	99	103
0	98	+	100	99
0	99	+	101	103
0	100	+	102	484
0	101	+	104	69
0	102	+	105	381
0	103	+	106	172
0	104	+	107	105
0	105	+	108	397
0	106	+	109	150
0	107	+	110	106
0	108	+	111	107
0	109	+	112	115
0	110	+	113	28
0	111	+	114	118
0	112	+	115	117
0	113	+	116	118
0	114	+	117	429
0	115	+	118	280
0	116	+	119	369
0	117	+	120	272
0	118	+	121	119
0	119	+	122	119
0	120	+	123	34
0	121	+	124	122
0	122	+	125	124
0	123	+	126	309
0	124	+	127	128
0	125	+	128	489
0	126	+	129	127
0	127	+	130	55
0	128	+	131	129
0	129	+	132	126
0	130	+	133	137
0	131	+	134	135
0	132	+	135	137
0	133	+	136	133
0	134	+	137	371
0	135	+	138	136
0	136	+	139	136
0	137	+	140	145
0	138	+	141	114
0	139	+	142	144
0	140	+	143	140
0	141	+	144	140
0	142	+	145	132
0	143	+	146	332
0	144	+	147	152
0	145	+	148	150
0	146	+	149	147
0	147	+	150	274
0	148	+	151	496
0	149	+	153	148
0	150	+	154	157
0	151	+	155	156
0	152	+	156	158
0	153	+	158	193
0	154	+	159	258
0	155	+	160	127
0	156	+	161	162
0	157	+	162	167
0	158	+	163	167
0	159	+	164	165
0	160	+	165	180
0	161	+	166	93
0	162	+	167	175
0	163	+	168	172
0	164	+	169	172
0	165	+	170	168
0	166	+	171	169
0	167	+	172	173
0	168	+	173	171
0	169	+	174	171
0	170	+	175	177
0	171	+	176	242
0	172	+	177	178
0	173	+	178	455
0	174	+	179	181
0	175	+	180	390
0	176	+	182	466
